Id,Sold Fast
1461,SoldSlow
1462,SoldSlow
1463,SoldSlow
1464,SoldSlow
1465,SoldSlow
1466,SoldSlow
1467,SoldSlow
1468,SoldSlow
1469,SoldSlow
1470,SoldSlow
1471,SoldSlow
1472,SoldSlow
1473,SoldSlow
1474,SoldSlow
1475,SoldSlow
1476,SoldSlow
1477,SoldSlow
1478,SoldSlow
1479,SoldSlow
1480,SoldSlow
1481,SoldSlow
1482,SoldSlow
1483,SoldSlow
1484,SoldSlow
1485,SoldSlow
1486,SoldSlow
1487,SoldSlow
1488,SoldSlow
1489,SoldSlow
1490,SoldSlow
1491,SoldSlow
1492,SoldSlow
1493,SoldSlow
1494,SoldSlow
1495,SoldSlow
1496,SoldSlow
1497,SoldSlow
1498,SoldSlow
1499,SoldSlow
1500,SoldSlow
1501,SoldSlow
1502,SoldSlow
1503,SoldSlow
1504,SoldSlow
1505,SoldSlow
1506,SoldSlow
1507,SoldSlow
1508,SoldSlow
1509,SoldSlow
1510,SoldSlow
1511,SoldSlow
1512,SoldSlow
1513,SoldSlow
1514,SoldSlow
1515,SoldSlow
1516,SoldSlow
1517,SoldSlow
1518,SoldSlow
1519,SoldSlow
1520,SoldSlow
1521,SoldSlow
1522,SoldSlow
1523,SoldSlow
1524,SoldSlow
1525,SoldSlow
1526,SoldSlow
1527,SoldSlow
1528,SoldSlow
1529,SoldSlow
1530,SoldSlow
1531,SoldSlow
1532,SoldSlow
1533,SoldSlow
1534,SoldSlow
1535,SoldSlow
1536,SoldSlow
1537,SoldSlow
1538,SoldSlow
1539,SoldSlow
1540,SoldSlow
1541,SoldSlow
1542,SoldSlow
1543,SoldSlow
1544,SoldSlow
1545,SoldSlow
1546,SoldSlow
1547,SoldSlow
1548,SoldSlow
1549,SoldSlow
1550,SoldSlow
1551,SoldSlow
1552,SoldSlow
1553,SoldSlow
1554,SoldSlow
1555,SoldSlow
1556,SoldSlow
1557,SoldSlow
1558,SoldSlow
1559,SoldSlow
1560,SoldSlow
1561,SoldSlow
1562,SoldSlow
1563,SoldSlow
1564,SoldSlow
1565,SoldSlow
1566,SoldSlow
1567,SoldSlow
1568,SoldSlow
1569,SoldSlow
1570,SoldSlow
1571,SoldSlow
1572,SoldSlow
1573,SoldSlow
1574,SoldSlow
1575,SoldSlow
1576,SoldSlow
1577,SoldSlow
1578,SoldSlow
1579,SoldSlow
1580,SoldSlow
1581,SoldSlow
1582,SoldSlow
